Num,BEARID,Sex,Date,Time,Lat,Lon,r,theta,phi,dt
1,1041,F,20030602,11:00:00,68.9134,-133.7246,,,,
2,1041,F,20030603,0:00:38,68.9135,-133.7258,0.001204159,-1.487655095,,13
3,1041,F,20030603,4:00:38,68.9137,-133.729,0.003206244,-1.508377517,6.262462885,4
4,1041,F,20030603,8:00:38,68.9137,-133.7291,1E-04,-1.570796327,6.220766497,4
5,1041,F,20030603,12:00:38,68.9137,-133.7292,0.0001,-1.570796327,0,4
6,1041,F,20030603,16:00:38,68.9137,-133.7293,0.0001,-1.570796327,0,4
7,1041,F,20030603,20:00:38,68.912,-133.7705,0.041235058,-1.612035069,6.241946565,4
8,1041,F,20030604,0:01:06,68.912,-133.7707,0.0002,-1.570796327,0.041238743,4
9,1041,F,20030604,4:00:38,68.9116,-133.7702,0.000640312,2.245537269,3.816333596,4
10,1041,F,20030604,8:00:38,68.9117,-133.77,0.000223607,1.107148718,5.144796756,4
11,1041,F,20030604,12:00:38,68.9116,-133.7704,0.000412311,-1.81577499,3.360261599,4
12,1041,F,20030604,16:00:38,68.9114,-133.7689,0.001513275,1.703347859,3.519122849,4
13,1041,F,20030604,20:00:38,68.9115,-133.769,0.000141421,-0.785398163,3.794439285,4
14,1041,F,20030605,0:00:38,68.9115,-133.7702,0.0012,-1.570796327,5.497787144,4
15,1041,F,20030605,4:00:38,68.9116,-133.7706,0.000412311,-1.325817664,0.244978663,4
16,1041,F,20030605,8:00:38,68.9114,-133.7691,0.001513275,1.703347859,3.029165523,4
17,1041,F,20030605,12:00:38,68.9112,-133.7698,0.000728011,-1.849095986,2.730741462,4
18,1041,F,20030605,16:00:38,68.9138,-133.7797,0.010235722,-1.313969877,0.535126109,4
19,1041,F,20030605,20:00:38,68.9137,-133.7799,0.000223607,-2.034443936,5.562711248,4
20,1041,F,20030606,0:00:37,68.9137,-133.7799,0,#DIV/0!,#DIV/0!,4
21,1041,F,20030606,4:01:03,68.9147,-133.7792,0.001220656,0.610725964,#DIV/0!,4
22,1041,F,20030606,8:00:38,68.936,-133.7979,0.028343959,-0.720489474,4.951969869,4
23,1041,F,20030606,12:01:07,68.951,-133.7706,0.031149478,1.068375057,1.78886453,4
24,1041,F,20030606,16:01:36,68.9791,-133.8107,0.048965498,-0.959568438,4.255241812,4
25,1041,F,20030606,20:01:07,68.9791,-133.8108,0.0001,-1.570796327,5.671957419,4
26,1041,F,20030607,0:00:37,68.9791,-133.811,0.0002,-1.570796327,0,4
27,1041,F,20030607,4:00:55,68.9789,-133.8108,0.000282843,2.35619449,3.926990817,4
28,1041,F,20030607,8:00:38,68.9877,-133.7843,0.02792293,1.250178275,5.177169092,4
29,1041,F,20030607,12:00:38,68.9877,-133.7846,0.0003,-1.570796327,3.462210706,4
30,1041,F,20030607,16:01:06,68.9883,-133.7861,0.001615549,-1.19028995,0.380506377,4
31,1041,F,20030607,20:00:38,68.9877,-133.7847,0.001523155,1.975688113,3.165978063,4
32,1041,F,20030608,0:00:55,68.9878,-133.7848,0.000141421,-0.785398163,3.522099031,4
33,1041,F,20030608,4:02:05,68.9877,-133.7847,0.000141421,2.35619449,3.141592654,4
34,1041,F,20030608,8:00:38,68.9876,-133.7847,0.0001,3.141592654,0.785398163,4
35,1041,F,20030608,12:01:26,69.0079,-133.7696,0.025300198,0.63954856,3.781141214,4
36,1041,F,20030608,20:00:38,69.0087,-133.771,0.001612452,-1.051650213,4.591986534,8
37,1041,F,20030609,0:01:55,69.0087,-133.7709,1E-04,1.570796327,2.622446539,4
38,1041,F,20030609,4:00:38,69.0355,-133.7432,0.038542574,0.801910424,5.514299404,4
39,1041,F,20030609,8:00:38,69.0661,-133.6918,0.059819061,1.03381718,0.231906756,4
40,1041,F,20030609,12:00:38,69.093,-133.6842,0.027952996,0.275351265,5.524719392,4
41,1041,F,20030609,16:01:25,69.0991,-133.7177,0.034050844,-1.390680153,4.61715389,4
42,1041,F,20030609,20:01:06,69.1048,-133.726,0.010068764,-0.96902049,0.421659663,4
43,1041,F,20030610,0:01:36,69.1047,-133.726,0.0001,3.141592654,4.110613143,4
44,1041,F,20030610,4:01:07,69.1243,-133.7261,0.019600255,-0.005101997,3.136490657,4
45,1041,F,20030610,8:00:38,69.1471,-133.6761,0.054953071,1.142964015,1.148066012,4
46,1041,F,20030610,12:00:38,69.1448,-133.695,0.019039433,-1.691894004,3.448327288,4
47,1041,F,20030610,16:01:06,69.1449,-133.695,0.0001,0,1.691894004,4
48,1041,F,20030610,20:00:38,69.1448,-133.695,0.0001,3.141592654,3.141592654,4
49,1041,F,20030611,0:02:00,69.1437,-133.6691,0.025923349,1.613241861,4.754834514,4
50,1041,F,20030611,4:00:38,69.1583,-133.7076,0.041175357,-1.208330392,3.461613055,4
51,1041,F,20030611,8:00:38,69.1562,-133.7803,0.072730324,-1.599674129,5.89184157,4
52,1041,F,20030611,16:01:07,69.1522,-133.8121,0.032050585,-1.695925315,6.186934121,8
53,1041,F,20030611,20:02:36,69.1522,-133.8123,0.0002,-1.570796327,0.125128988,4
54,1041,F,20030612,0:00:38,69.1454,-133.8284,0.017477128,-1.970428958,5.883552676,4
55,1041,F,20030612,4:00:38,69.129,-133.9391,0.111908221,-1.717874682,0.252554276,4
56,1041,F,20030612,8:00:37,69.1577,-133.9059,0.043885419,0.857968399,2.575843081,4
57,1041,F,20030612,12:01:02,69.198,-133.8002,0.11312197,1.206542007,0.348573609,4
58,1041,F,20030612,16:00:38,69.1853,-133.8156,0.019961212,-2.260403153,2.816240146,4
59,1041,F,20030612,20:01:06,69.1849,-133.8164,0.000894427,-2.034443936,0.225959218,4
60,1041,F,20030613,0:00:38,69.1849,-133.8165,0.0001,-1.570796327,0.463647609,4
61,1041,F,20030613,4:00:38,69.1846,-133.8174,0.000948683,-1.892546881,5.961434753,4
62,1041,F,20030613,8:00:38,69.1853,-133.8167,0.000989949,0.785398163,2.677945045,4
63,1041,F,20030613,12:00:38,69.1846,-133.817,0.000761577,-2.736700867,2.761086276,4
64,1041,F,20030613,16:00:38,69.1855,-133.816,0.001345362,0.837981225,3.574682092,4
65,1041,F,20030613,20:00:38,69.1854,-133.8152,0.000806226,1.695151321,0.857170096,4
66,1041,F,20030614,0:00:37,69.1846,-133.8168,0.001788854,-2.034443936,2.55359005,4
67,1041,F,20030614,4:00:38,69.1851,-133.8168,0.0005,0,2.034443936,4
68,1041,F,20030614,8:00:26,69.1849,-133.8177,0.000921954,-1.789465273,4.493720035,4
69,1041,F,20030614,12:00:38,69.1849,-133.8166,0.0011,1.570796327,3.360261599,4
70,1041,F,20030614,16:00:38,69.1635,-133.7859,0.037422587,2.179552066,0.608755739,4
71,1041,F,20030614,20:01:36,69.1555,-133.7775,0.0116,2.331809081,0.152257015,4
72,1041,F,20030615,0:01:02,69.1553,-133.7774,0.000223607,2.677945045,0.346135964,4
73,1041,F,20030615,4:00:38,69.146,-133.6797,0.098141632,1.665699731,5.270939994,4
74,1041,F,20030615,8:00:38,69.1427,-133.6711,0.009211406,1.937190738,0.271491007,4
75,1041,F,20030615,12:01:01,69.1439,-133.6688,0.002594224,1.089909047,5.435903616,4
76,1041,F,20030615,16:00:38,69.1411,-133.6674,0.003130495,2.677945045,1.588035998,4
77,1041,F,20030615,20:01:25,69.1428,-133.671,0.003981206,-1.129616846,2.475623416,4
78,1041,F,20030616,0:00:37,69.1431,-133.6697,0.001334166,1.343997479,2.473614325,4
79,1041,F,20030616,4:00:37,69.1431,-133.6694,0.0003,1.570796327,0.226798848,4
80,1041,F,20030616,8:00:40,69.1432,-133.6697,0.000316228,-1.249045772,3.463343208,4
81,1041,F,20030616,12:00:37,69.143,-133.6698,0.000223607,-2.677945045,4.854286035,4
82,1041,F,20030616,16:00:38,69.1434,-133.6689,0.000984886,1.152571997,3.830517042,4
83,1041,F,20030616,20:00:38,69.1459,-133.6732,0.004973932,-1.044169055,4.086444255,4
84,1041,F,20030617,0:01:07,69.1438,-133.669,0.004695743,2.034443936,3.078612991,4
85,1041,F,20030617,4:00:55,69.1428,-133.6712,0.002416609,-1.99742382,2.251317551,4
86,1041,F,20030617,8:00:38,69.079,-133.6429,0.069794914,2.724095702,4.721519522,4
87,1041,F,20030617,12:00:38,69.0775,-133.6525,0.009716481,-1.725793069,1.833296536,4
88,1041,F,20030617,16:00:38,69.0775,-133.6523,0.0002,1.570796327,3.296589396,4
89,1041,F,20030617,20:00:37,69.0761,-133.6433,0.009108238,1.725115103,0.154318776,4
90,1041,F,20030618,0:01:06,69.0356,-133.6437,0.040501975,-3.131716432,1.426353773,4
91,1041,F,20030618,4:00:38,69.0366,-133.6435,0.001019804,0.19739556,3.329111991,4
92,1041,F,20030618,8:00:37,68.9912,-133.5953,0.066214802,2.326288879,2.128893319,4
93,1041,F,20030618,12:00:38,68.9368,-133.5528,0.069033398,2.478389661,0.152100782,4
94,1041,F,20030618,16:00:38,68.8701,-133.5787,0.071552079,-2.771207914,1.033587733,4
95,1041,F,20030618,20:00:38,68.8699,-133.5786,0.000223607,2.677945045,5.449152958,4
96,1041,F,20030619,0:00:38,68.8698,-133.5786,0.0001,3.141592654,0.463647609,4
97,1041,F,20030619,4:00:39,68.8685,-133.5862,0.007710383,-1.740209371,1.401383283,4
98,1041,F,20030619,8:00:38,68.8155,-133.5653,0.056972011,2.765975416,4.506184787,4
99,1041,F,20030619,12:00:38,68.7463,-133.5288,0.078236117,2.656221761,6.173431652,4
100,1041,F,20030619,16:00:38,68.7279,-133.6022,0.075671131,-1.816416015,1.81054753,4
101,1041,F,20030619,20:00:38,68.7236,-133.6091,0.008130191,-2.128091862,5.971509461,4
102,1041,F,20030620,0:01:06,68.7236,-133.6089,0.0002,1.570796327,3.698888189,4
103,1041,F,20030620,4:00:38,68.7212,-133.6074,0.002830194,2.582993338,1.012197011,4
104,1041,F,20030620,8:00:37,68.7144,-133.6071,0.006806614,3.097503596,0.514510258,4
105,1041,F,20030620,12:00:38,68.7027,-133.5961,0.016058954,2.387021726,5.572703437,4
106,1041,F,20030620,16:00:38,68.7036,-133.6041,0.008050466,-1.458767364,2.437396217,4
107,1041,F,20030620,20:00:38,68.7035,-133.6041,1E-04,3.141592654,4.600360018,4
108,1041,F,20030621,0:00:38,68.7037,-133.6034,0.000728011,1.292496668,4.434089321,4
109,1041,F,20030621,4:00:38,68.7038,-133.6032,0.000223607,1.107148718,6.097837357,4
110,1041,F,20030621,8:01:07,68.6897,-133.6457,0.044777896,-1.891134453,3.284902137,4
111,1041,F,20030621,12:01:01,68.6982,-133.543,0.103051152,1.488219202,3.379353654,4
112,1041,F,20030621,16:01:08,68.7053,-133.5247,0.01962906,1.200696386,5.995662491,4
113,1041,F,20030621,20:00:54,68.7083,-133.5233,0.003310589,0.43662716,5.519116081,4
114,1041,F,20030622,0:02:38,68.7084,-133.5232,0.000141421,0.785398163,0.348771004,4
115,1041,F,20030622,8:00:38,68.7027,-133.5432,0.020796394,-1.848435484,3.64935166,8
116,1041,F,20030622,12:01:06,68.7027,-133.5428,0.0004,1.570796327,3.419231811,4
117,1041,F,20030622,16:00:38,68.6781,-133.4869,0.06107348,1.98536315,0.414566823,4
118,1041,F,20030622,20:00:38,68.6773,-133.4842,0.002816026,1.858851774,6.156673931,4
119,1041,F,20030623,0:01:00,68.6773,-133.484,0.0002,1.570796327,5.99512986,4
120,1041,F,20030623,8:02:06,68.7155,-133.4993,0.041150091,-0.380957641,4.33143134,8
121,1041,F,20030623,12:01:07,68.7466,-133.5294,0.043280712,-0.769059748,5.8950832,4
122,1041,F,20030624,4:01:06,68.7582,-133.5194,0.015315352,0.711459126,1.480518874,16
123,1041,F,20030624,8:00:37,68.7705,-133.5543,0.037004054,-1.23195342,4.339772761,4
124,1041,F,20030624,12:01:07,68.8258,-133.6514,0.111743009,-1.053093213,0.178860207,4
125,1041,F,20030624,16:01:07,68.8945,-133.7524,0.122150276,-0.973484274,0.079608939,4
126,1041,F,20030625,0:00:37,68.8945,-133.7518,0.0006,1.570796327,2.544280601,8
127,1041,F,20030625,4:00:38,68.9625,-133.8326,0.10560606,-0.871208428,3.841180552,4
128,1041,F,20030625,8:00:38,69.0511,-133.8677,0.09529937,-0.377193841,0.494014588,4
129,1041,F,20030625,12:01:36,69.1023,-133.9271,0.078420661,-0.85940381,5.800975338,4
130,1041,F,20030625,16:01:07,69.1187,-133.9409,0.021433618,-0.699517212,0.159886598,4
131,1041,F,20030625,20:00:38,69.1509,-133.9476,0.032889664,-0.205147343,0.49436987,4
132,1041,F,20030626,0:00:37,69.1518,-133.9472,0.000984886,0.41822433,0.623371672,4
133,1041,F,20030626,4:00:38,69.1939,-133.9766,0.051349489,-0.609609181,5.255351796,4
134,1041,F,20030626,8:00:38,69.204,-133.8105,0.166406791,1.510064362,2.119673543,4
135,1041,F,20030626,12:01:06,69.204,-133.8116,0.0011,-1.570796327,3.202324619,4
136,1041,F,20030626,16:00:38,69.1725,-133.7069,0.109335904,1.863041557,3.433837884,4
137,1041,F,20030626,20:01:20,69.1427,-133.6693,0.047977078,2.240980009,0.377938452,4
138,1041,F,20030627,0:00:38,69.1425,-133.6692,0.000223607,2.677945045,0.436965036,4
139,1041,F,20030627,4:01:10,69.143,-133.6699,0.000860233,-0.950546841,2.654693422,4
140,1041,F,20030627,8:01:55,69.1407,-133.5522,0.11772247,1.590335046,2.540881887,4
141,1041,F,20030627,12:01:07,69.1783,-133.5896,0.053033197,-0.782731503,3.910118758,4
142,1041,F,20030627,16:01:36,69.2317,-133.6127,0.058182214,-0.408277014,0.374454489,4
143,1041,F,20030627,20:01:24,69.2436,-133.6059,0.013705838,0.519146114,0.927423128,4
144,1041,F,20030628,0:01:24,69.2436,-133.6059,0,#DIV/0!,#DIV/0!,4
145,1041,F,20030628,4:01:24,69.2824,-133.6114,0.039187881,-0.140814413,#DIV/0!,4
146,1041,F,20030628,8:00:38,69.2789,-133.6388,0.027622636,-1.697845522,4.726154198,4
147,1041,F,20030628,12:01:06,69.2836,-133.6034,0.035710643,1.438799939,3.136645461,4
148,1041,F,20030628,16:01:08,69.2851,-133.6101,0.006865858,-1.350547603,3.493837765,4
149,1041,F,20030628,20:02:07,69.2867,-133.6113,0.002,-0.643501109,0.707046495,4
150,1041,F,20030629,0:00:55,69.2812,-133.6104,0.00557315,2.97939382,3.622894929,4
151,1041,F,20030629,4:00:38,69.2836,-133.6025,0.008256513,1.275859268,4.579650755,4
152,1041,F,20030629,8:01:25,69.2826,-133.5991,0.003544009,1.856847769,0.580988501,4
153,1041,F,20030629,12:01:06,69.2832,-133.601,0.001992486,-1.264917455,3.161420083,4
154,1041,F,20030629,16:02:24,69.2853,-133.6098,0.009047099,-1.336541113,6.211561649,4
155,1041,F,20030629,20:01:18,69.2855,-133.6104,0.000632456,-1.249045772,0.087495341,4
156,1041,F,20030630,0:00:37,69.2833,-133.6017,0.008973851,1.818477686,3.067523458,4
157,1041,F,20030630,4:00:38,69.2826,-133.599,0.002789265,1.824470423,0.005992737,4
158,1041,F,20030630,8:01:07,69.2827,-133.5994,0.000412311,-1.325817664,3.132897221,4
159,1041,F,20030630,12:01:07,69.2832,-133.601,0.001676305,-1.267911458,0.057906205,4
160,1041,F,20030630,16:01:06,69.2981,-133.5951,0.016025605,0.377030145,1.644941604,4
161,1041,F,20030630,20:00:38,69.3036,-133.5955,0.005514526,-0.072599454,5.833555708,4
162,1041,F,20030701,0:00:37,69.3035,-133.5953,0.000223607,2.034443936,2.10704339,1684
163,1041,F,20030701,4:02:54,69.2891,-133.6019,0.015840455,-2.711830374,1.536910997,4
164,1041,F,20030701,8:01:24,69.2831,-133.6009,0.006082763,2.976443976,5.688274351,4
165,1041,F,20030701,12:02:07,69.284,-133.603,0.002284732,-1.165904541,2.14083679,4
166,1041,F,20030701,16:00:46,69.2843,-133.6025,0.000583095,1.030376827,2.196281367,4
167,1041,F,20030701,20:00:37,69.2844,-133.6019,0.000608276,1.405647649,0.375270823,4
168,1041,F,20030702,0:00:38,69.2842,-133.6027,0.000824621,-1.81577499,3.061762668,4
169,1041,F,20030702,4:00:38,69.2843,-133.6026,0.000141421,0.785398163,2.601173153,4
170,1041,F,20030702,8:00:37,69.2842,-133.6028,0.000223607,-2.034443936,3.463343208,4
171,1041,F,20030702,12:00:37,69.284,-133.6019,0.000921954,1.789465273,3.823909208,4
172,1041,F,20030702,16:00:37,69.2846,-133.6021,0.000632456,-0.321750554,4.17196948,4
173,1041,F,20030702,20:00:38,69.2862,-133.615,0.012998846,-1.44739553,5.157540331,4
174,1041,F,20030703,0:00:38,69.2862,-133.6151,0.0001,-1.570796327,6.159784511,4
175,1041,F,20030703,4:01:36,69.2862,-133.615,0.0001,1.570796327,3.141592654,4
176,1041,F,20030703,8:00:37,69.2814,-133.5565,0.058696593,1.652664215,0.081867888,4
177,1041,F,20030703,12:00:38,69.2753,-133.4425,0.114163085,1.624254118,6.25477521,4
178,1041,F,20030703,16:00:38,69.2122,-133.4395,0.063171275,3.094084846,1.469830728,4
179,1041,F,20030703,20:00:38,69.2122,-133.4393,0.0002,1.570796327,4.759896788,4
180,1041,F,20030704,0:01:26,69.2122,-133.4395,0.0002,-1.570796327,3.141592654,4
181,1041,F,20030704,4:00:38,69.212,-133.4658,0.02630076,-1.578400743,6.275580891,4
182,1041,F,20030704,8:00:38,69.2273,-133.6512,0.186030239,-1.48845863,0.089942113,4
183,1041,F,20030704,12:00:38,69.245,-133.7455,0.095946756,-1.385256303,0.103202327,4
184,1041,F,20030704,16:00:55,69.1996,-133.8031,0.073341121,-2.238297191,5.430144419,4
185,1041,F,20030704,20:00:38,69.1855,-133.8159,0.019043372,-2.404484057,6.116998441,4
186,1041,F,20030705,0:00:38,69.1855,-133.8159,0,#DIV/0!,#DIV/0!,4
187,1041,F,20030705,4:01:07,69.1855,-133.816,0.0001,-1.570796327,#DIV/0!,4
188,1041,F,20030705,8:01:06,69.2071,-133.8376,0.030547013,-0.785398163,0.785398163,4
189,1041,F,20030705,12:00:37,69.2072,-133.8371,0.000509902,1.373400767,2.15879893,4
190,1041,F,20030705,16:00:37,69.1785,-133.7764,0.067142982,2.012462134,0.639061367,4
191,1041,F,20030705,20:00:38,69.1754,-133.7832,0.007473286,-1.998531239,2.272191934,4
192,1041,F,20030706,0:00:55,69.1774,-133.7791,0.004561798,1.116952325,3.115483564,4
193,1041,F,20030706,4:00:38,69.1773,-133.7793,0.000223607,-2.034443936,3.131789046,4
194,1041,F,20030706,8:01:07,69.1778,-133.8045,0.02520496,-1.55095766,0.483486276,4
195,1041,F,20030706,12:00:37,69.2111,-133.8262,0.039746446,-0.577535435,0.973422225,4
196,1041,F,20030706,16:01:02,69.2277,-133.7236,0.10393421,1.410392948,1.987928383,4
197,1041,F,20030706,20:01:07,69.2276,-133.7236,0.0001,3.141592654,1.731199706,4
198,1041,F,20030707,0:00:38,69.2277,-133.7234,0.000223607,1.107148718,4.248741371,4
199,1041,F,20030707,4:00:38,69.2427,-133.6383,0.086411863,1.396325241,0.289176523,4
200,1041,F,20030707,8:01:07,69.2846,-133.602,0.055437352,0.713908947,5.600769013,4
201,1041,F,20030707,12:00:38,69.238,-133.5659,0.05894718,2.482483718,1.768574772,4
202,1041,F,20030707,16:00:38,69.1819,-133.6318,0.086544902,-2.276038729,1.52466286,4
203,1041,F,20030707,20:00:38,69.162,-133.6583,0.033140006,-2.214900936,0.061137793,4
204,1041,F,20030708,0:00:37,69.1435,-133.6659,0.02000025,-2.751801492,5.746284751,4
205,1041,F,20030708,4:00:38,69.1435,-133.6701,0.0042,-1.570796327,1.181005165,4
206,1041,F,20030708,12:00:37,69.1431,-133.6697,0.000565685,2.35619449,3.926990817,8
207,1041,F,20030708,16:00:38,69.0978,-133.7244,0.071022391,-2.262469893,1.664520924,4
208,1041,F,20030709,0:00:38,69.0955,-133.7578,0.033479098,-1.639550062,0.622919831,8
209,1041,F,20030709,4:00:38,69.0839,-133.7577,0.011600431,3.132972177,4.77252224,4
210,1041,F,20030709,8:00:38,69.0316,-133.7502,0.052835026,2.999160267,6.149373397,4
211,1041,F,20030709,12:00:37,68.9673,-133.753,0.064360935,-3.098074268,0.185950772,4
212,1041,F,20030709,16:00:38,68.8975,-133.7615,0.070315645,-3.020412812,0.077661457,4
213,1041,F,20030709,20:01:14,68.8682,-133.7311,0.04222144,2.337771114,5.358183926,4
214,1041,F,20030710,0:00:37,68.8686,-133.7311,0.0004,0,3.945414193,4
215,1041,F,20030710,4:00:38,68.8681,-133.7305,0.000781025,2.265534603,2.265534603,4
216,1041,F,20030710,8:00:37,68.8496,-133.7258,0.019087692,2.892802065,0.627267462,4
217,1041,F,20030710,12:00:38,68.8004,-133.6572,0.084419192,2.192973654,5.583356896,4
218,1041,F,20030710,16:01:08,68.7787,-133.6451,0.024845523,2.632930429,0.439956775,4
219,1041,F,20030711,4:00:38,68.7731,-133.6387,0.008504117,2.289626326,5.939881205,12
220,1041,F,20030711,8:00:37,68.7362,-133.5859,0.064416225,2.180759224,6.174318205,4
221,1041,F,20030712,8:00:38,68.7465,-133.5285,0.058316807,1.393243436,5.49566952,24
222,1041,F,20030712,12:00:41,68.7466,-133.5287,0.000223607,-1.107148718,3.782793153,4
223,1041,F,20030713,8:01:26,68.7655,-133.5041,0.031022089,0.915690323,2.022839041,20
224,1041,F,20030713,12:00:37,68.7449,-133.4353,0.071817825,1.861719646,0.946029323,4
225,1041,F,20030713,16:01:36,68.7393,-133.4596,0.02493692,-1.797294604,2.624171058,4
226,1041,F,20030714,0:00:37,68.7377,-133.4831,0.023554405,-1.63877652,0.158518084,8
227,1041,F,20030714,4:00:37,68.7539,-133.4756,0.017851891,0.433581484,2.072358004,4
228,1041,F,20030714,8:00:37,68.7814,-133.5235,0.05523278,-1.049629106,4.799974717,4
229,1041,F,20030714,12:00:38,68.8544,-133.6164,0.118149947,-0.904779552,0.144849554,4
230,1041,F,20030714,16:01:06,68.92,-133.712,0.115942744,-0.969397395,6.218567464,4
231,1041,F,20030714,20:01:05,68.9455,-133.8112,0.102425046,-1.319187403,5.933395299,4
232,1041,F,20030715,0:00:38,68.9457,-133.8113,0.000223607,-0.463647609,0.855539794,4
233,1041,F,20030715,4:01:31,68.9852,-133.843,0.050647211,-0.676282723,6.070550193,4
234,1041,F,20030715,8:01:37,69.0557,-133.7722,0.099914413,0.787521302,1.463804026,4
235,1041,F,20030715,12:00:38,69.0744,-133.678,0.096038169,1.374830213,0.58730891,4
236,1041,F,20030715,16:00:38,69.1291,-133.604,0.092022226,0.934250116,5.84260521,4
237,1041,F,20030715,20:00:38,69.1382,-133.5649,0.040144987,1.342130416,0.4078803,4
238,1041,F,20030716,0:00:37,69.1383,-133.5621,0.002801785,1.535097214,0.192966798,4
239,1041,F,20030716,4:01:07,69.1416,-133.644,0.081966457,-1.530525071,3.217563022,4
240,1041,F,20030716,8:00:38,69.1722,-133.7386,0.099425952,-1.257951389,0.272573682,4
241,1041,F,20030716,12:01:06,69.173,-133.7933,0.05470585,-1.556172141,5.984964556,4
242,1041,F,20030716,16:00:37,69.2033,-133.8207,0.040851561,-0.735180454,0.820991687,4
243,1041,F,20030716,20:01:04,69.2181,-133.8218,0.014840822,-0.074187918,0.660992536,4
244,1041,F,20030717,0:01:07,69.2182,-133.8219,0.000141421,-0.785398163,5.571975061,4
245,1041,F,20030717,4:00:39,69.2186,-133.7953,0.026603007,1.555759866,2.34115803,4
246,1041,F,20030717,8:01:06,69.2485,-133.6858,0.113508854,1.304235206,6.031660647,4
247,1041,F,20030717,12:00:38,69.2597,-133.5676,0.11872944,1.476323739,0.172088532,4
248,1041,F,20030717,16:01:01,69.3078,-133.6727,0.115583822,-1.141591151,3.665270418,4
249,1041,F,20030717,20:00:38,69.2368,-133.6996,0.075925029,-2.779430598,4.64534586,4
250,1041,F,20030718,0:01:01,69.2366,-133.7028,0.003206244,-1.633215137,1.146215461,4
251,1041,F,20030718,4:00:38,69.2336,-133.6709,0.032040755,1.664564427,3.297779563,4
252,1041,F,20030718,8:00:38,69.2231,-133.713,0.04338963,-1.815216018,2.803404862,4
253,1041,F,20030718,12:00:38,69.2175,-133.7441,0.031600158,-1.748951555,0.066264464,4
