Num,BEARID,Sex,Date,Time,Lat,Lon,r,dt
1,1046,M,20030606,0:00:00,69.00889,-134.67826,,
2,1046,M,20030606,8:01:00,69.0082,-134.6785,0.000730548,8
3,1046,M,20030606,12:01:00,69.0187,-134.7092,0.032445955,4
4,1046,M,20030606,16:00:00,69.0196,-134.7111,0.00210238,4
5,1046,M,20030606,20:00:00,69.0185,-134.709,0.002370654,4
6,1046,M,20030607,0:01:00,69.0186,-134.7091,0.000141421,4
7,1046,M,20030607,4:01:00,69.0185,-134.7089,0.000223607,4
8,1046,M,20030607,12:00:00,69.0177,-134.708,0.001204159,8
9,1046,M,20030607,16:01:00,69.0174,-134.7066,0.001431782,4
10,1046,M,20030607,20:01:00,69.0454,-134.7668,0.066393072,4
11,1046,M,20030608,0:00:00,69.0458,-134.7646,0.002236068,4
12,1046,M,20030608,4:01:00,69.0459,-134.764,0.000608276,4
13,1046,M,20030608,8:00:00,69.046,-134.7638,0.000223607,4
14,1046,M,20030608,12:00:00,69.0457,-134.7641,0.000424264,4
15,1046,M,20030608,16:01:00,69.0459,-134.766,0.001910497,4
16,1046,M,20030608,20:01:00,69.0462,-134.7688,0.002816026,4
17,1046,M,20030609,0:00:00,69.046,-134.7685,0.000360555,4
18,1046,M,20030609,4:00:00,69.0448,-134.7657,0.003046309,4
19,1046,M,20030609,8:00:00,69.0448,-134.7661,0.0004,4
20,1046,M,20030609,12:00:00,69.0446,-134.7651,0.001019804,4
21,1046,M,20030609,16:02:00,69.0292,-134.7262,0.041837423,4
22,1046,M,20030609,20:01:00,69.0232,-134.7174,0.010650822,4
23,1046,M,20030610,0:01:00,68.9988,-134.7938,0.080201746,4
24,1046,M,20030610,4:01:00,68.9962,-134.7865,0.007749194,4
25,1046,M,20030610,8:00:00,68.9933,-134.7754,0.011472576,4
26,1046,M,20030610,12:00:00,68.9934,-134.7751,0.000316228,4
27,1046,M,20030610,16:01:00,68.9935,-134.7751,0.0001,4
28,1046,M,20030610,20:01:00,68.9934,-134.7774,0.002302173,4
29,1046,M,20030611,0:01:00,68.9958,-134.7864,0.009314505,4
30,1046,M,20030611,4:01:00,69.0043,-134.8366,0.050914536,4
31,1046,M,20030611,12:01:00,69.0011,-134.8082,0.028579713,8
32,1046,M,20030611,16:01:00,68.9707,-134.7989,0.031790722,4
33,1046,M,20030611,20:01:00,68.9726,-134.8388,0.039945212,4
34,1046,M,20030612,0:01:00,68.9671,-134.8379,0.00557315,4
35,1046,M,20030612,4:00:00,68.9619,-134.8172,0.021343149,4
36,1046,M,20030612,8:00:00,68.9564,-134.76,0.057463815,4
37,1046,M,20030612,12:00:00,68.9564,-134.76,0,4
38,1046,M,20030612,16:01:00,68.9554,-134.7506,0.009453042,4
39,1046,M,20030612,20:01:00,68.9561,-134.7552,0.004652956,4
40,1046,M,20030613,0:02:00,68.9555,-134.7582,0.003059412,4
41,1046,M,20030613,4:00:00,68.956,-134.7553,0.002942788,4
42,1046,M,20030613,8:00:00,68.9559,-134.7538,0.00150333,4
43,1046,M,20030613,12:00:00,68.9559,-134.7538,0,4
44,1046,M,20030613,16:01:00,68.9546,-134.7172,0.03662308,4
45,1046,M,20030613,20:02:00,68.9267,-134.7438,0.038548281,4
46,1046,M,20030614,0:00:00,68.9095,-134.7132,0.035102706,4
47,1046,M,20030614,4:00:00,68.8949,-134.6807,0.035628781,4
48,1046,M,20030614,8:00:00,68.8908,-134.6711,0.01043887,4
49,1046,M,20030614,12:00:00,68.8908,-134.6711,0,4
50,1046,M,20030614,16:01:00,68.8736,-134.6366,0.038549838,4
51,1046,M,20030614,20:01:00,68.8797,-134.6169,0.020622803,4
52,1046,M,20030615,0:01:00,68.8743,-134.5484,0.068712517,4
53,1046,M,20030615,4:01:00,68.874,-134.5393,0.009104944,4
54,1046,M,20030615,12:01:00,68.871,-134.5364,0.004172529,8
55,1046,M,20030615,16:00:00,68.8639,-134.5346,0.007324616,4
56,1046,M,20030616,0:00:00,68.835,-134.6117,0.082338448,8
57,1046,M,20030616,4:02:00,68.8331,-134.6107,0.002147091,4
