"","N","model","IC","true","estimate","se","msg","const.l","const.u","CL","CU"
"steplength",1,"null",-350.755857348559,0.75,0.74007764319147,0.0426230599533543,"relative convergence (4)",0,Inf,0.654831523284762,0.825323763098179
"angularconcentration",1,"null",-350.755857348559,0.75,0.913911530693396,0.0942038564251388,"relative convergence (4)",0,Inf,0.725503817843118,1.10231924354367
"logit_lambda",1,"null",-350.755857348559,1.73460105538811,1.57048801941708,0.157251528339962,"relative convergence (4)",-10,Inf,1.25598496273716,1.88499107609701
"logit_gamma",1,"null",-350.755857348559,2.19722457733622,1.62237302675986,0.161295219646969,"relative convergence (4)",-10,Inf,1.29978258746592,1.9449634660538
"1",1,"resource",-332.862837641055,0.75,0.7399796401466,0.0426125907214928,"relative convergence (4)",0,Inf,0.654754458703614,0.825204821589586
"2",1,"resource",-332.862837641055,0.75,0.913614960528063,0.0941856203644085,"relative convergence (4)",0,Inf,0.725243719799246,1.10198620125688
"3",1,"resource",-332.862837641055,0,0.534803543377644,1.4622397603406,"relative convergence (4)",-Inf,Inf,-2.38967597730356,3.45928306405885
"4",1,"resource",-332.862837641055,0,0.550085594478457,1.55259520204494,"relative convergence (4)",-Inf,Inf,-2.55510480961142,3.65527599856833
"5",1,"resource",-332.862837641055,0,1.60087578489165,1.76933482364478,"relative convergence (4)",-Inf,Inf,-1.9377938623979,5.1395454321812
"6",1,"resource",-332.862837641055,1.73460105538811,1.57133136311517,0.0224015342272118,"relative convergence (4)",-10,10,1.52652829466075,1.6161344315696
"7",1,"resource",-332.862837641055,2.19722457733622,1.62261922491203,0.0222057234570557,"relative convergence (4)",-10,10,1.57820777799792,1.66703067182614
"11",1,"memory (1-peak)",-325.161477610418,0.75,0.740077640416567,NA,"both X-convergence and relative convergence (5)",0,Inf,NA,NA
"21",1,"memory (1-peak)",-325.161477610418,0.75,0.913911529451454,NA,"both X-convergence and relative convergence (5)",0,Inf,NA,NA
"31",1,"memory (1-peak)",-325.161477610418,0,0,NA,"both X-convergence and relative convergence (5)",0,1000,NA,NA
"41",1,"memory (1-peak)",-325.161477610418,1,584.300018839387,NA,"both X-convergence and relative convergence (5)",5,600,NA,NA
"51",1,"memory (1-peak)",-325.161477610418,1,72.9580868742506,NA,"both X-convergence and relative convergence (5)",20,Inf,NA,NA
"61",1,"memory (1-peak)",-325.161477610418,1.73460105538811,1.57048802258804,NA,"both X-convergence and relative convergence (5)",-10,Inf,NA,NA
"71",1,"memory (1-peak)",-325.161477610418,2.19722457733622,1.6223730298504,NA,"both X-convergence and relative convergence (5)",-10,Inf,NA,NA
"8",1,"memory (1-peak)",-325.161477610418,-4.0943445622221,0.964614575381149,NA,"both X-convergence and relative convergence (5)",-Inf,0.971298059978524,NA,NA
"13",1,"combination (1-peak)",-301.835466592304,0.75,0.739973030400874,0.0426120601341218,"relative convergence (4)",0,Inf,0.65474891013263,0.825197150669117
"22",1,"combination (1-peak)",-301.835466592304,0.75,0.91360446827459,0.0941847779782431,"relative convergence (4)",0,Inf,0.725234912318104,1.10197402423108
"32",1,"combination (1-peak)",-301.835466592304,0,-1.86197890120463,1.81308085728941,"relative convergence (4)",-Inf,Inf,-5.48814061578346,1.7641828133742
"42",1,"combination (1-peak)",-301.835466592304,0,0.513181161253039,1.47343966063085,"relative convergence (4)",-Inf,Inf,-2.43369816000865,3.46006048251473
"52",1,"combination (1-peak)",-301.835466592304,0,0.561671734797571,1.57137507464486,"relative convergence (4)",-Inf,Inf,-2.58107841449215,3.70442188408729
"62",1,"combination (1-peak)",-301.835466592304,0,1.67247116049749,1.79247789210719,"relative convergence (4)",-Inf,Inf,-1.9124846237169,5.25742694471188
"72",1,"combination (1-peak)",-301.835466592304,0,104.035370310302,68.3546605108619,"relative convergence (4)",0,1000,-32.6739507114223,240.744691332025
"81",1,"combination (1-peak)",-301.835466592304,1,591.565524483555,20.6789690276568,"relative convergence (4)",1,600,550.207586428242,632.923462538869
"9",1,"combination (1-peak)",-301.835466592304,1,20,20.0772858044237,"relative convergence (4)",20,600,-20.1545716088473,60.1545716088473
"10",1,"combination (1-peak)",-301.835466592304,1.73460105538811,1.57139528229393,0.157282211794099,"relative convergence (4)",-10,Inf,1.25683085870573,1.88595970588213
"111",1,"combination (1-peak)",-301.835466592304,2.19722457733622,1.62264001041821,0.161296594138636,"relative convergence (4)",-10,Inf,1.30004682214094,1.94523319869548
"12",1,"combination (1-peak)",-301.835466592304,-4.0943445622221,0.971298059978524,0.968168595104201,"relative convergence (4)",-Inf,0.971298059978524,-0.965039130229878,2.90763525018693
