"","N","model","IC","true","estimate","se","msg","const.l","const.u","CL","CU"
"steplength",1,"null",300.078844623158,0.75,0.653289871068511,0.0348917303047139,"relative convergence (4)",0,Inf,0.583506410459083,0.723073331677939
"angularconcentration",1,"null",300.078844623158,0.75,0.657259400419102,0.0816911972404214,"relative convergence (4)",0,Inf,0.493877005938259,0.820641794899944
"logit_lambda",1,"null",300.078844623158,1.73460105538811,1.31214495196532,0.160984131984451,"relative convergence (4)",-10,Inf,0.990176687996418,1.63411321593422
"logit_gamma",1,"null",300.078844623158,2.19722457733622,1.76135170804762,0.157172411719532,"relative convergence (4)",-10,Inf,1.44700688460855,2.07569653148668
"1",1,"resource",253.810787372097,0.75,0.652594714320502,0.0348385647932835,"relative convergence (4)",0,Inf,0.582917584733935,0.722271843907069
"2",1,"resource",253.810787372097,0.75,0.656689498231419,0.0816459994105829,"relative convergence (4)",0,Inf,0.493397499410253,0.819981497052585
"3",1,"resource",253.810787372097,7.5,9.5514931568983,1.81999422353129,"relative convergence (4)",-Inf,Inf,5.91150470983573,13.1914816039609
"4",1,"resource",253.810787372097,-7.5,-9.47311483335615,1.82809579829767,"relative convergence (4)",-Inf,Inf,-13.1293064299515,-5.81692323676081
"5",1,"resource",253.810787372097,0,-1.25747096269411,1.56007015461501,"relative convergence (4)",-Inf,Inf,-4.37761127192412,1.8626693465359
"6",1,"resource",253.810787372097,1.73460105538811,1.31470248009039,0.026942132321256,"relative convergence (4)",-10,10,1.26081821544788,1.3685867447329
"7",1,"resource",253.810787372097,2.19722457733622,1.75849075374142,0.0196646645950228,"relative convergence (4)",-10,10,1.71916142455138,1.79782008293147
"11",1,"memory (1-peak)",314.473369419458,0.75,0.653054439322051,0.0348740575061341,"relative convergence (4)",0,Inf,0.583306324309783,0.722802554334319
"21",1,"memory (1-peak)",314.473369419458,0.75,0.657446819408598,0.0816826093495667,"relative convergence (4)",0,Inf,0.494081600709464,0.820812038107731
"31",1,"memory (1-peak)",314.473369419458,0,29.2759865625935,13.2220701540165,"relative convergence (4)",0,1000,2.83184625456047,55.7201268706266
"41",1,"memory (1-peak)",314.473369419458,1,457.133444401458,115.362138774646,"relative convergence (4)",5,600,226.409166852166,687.85772195075
"51",1,"memory (1-peak)",314.473369419458,1,189.326552389737,62.89037422424,"relative convergence (4)",20,Inf,63.5458039412572,315.107300838217
"61",1,"memory (1-peak)",314.473369419458,1.73460105538811,1.31282354251435,0.0269179232543081,"relative convergence (4)",-10,Inf,1.25898769600573,1.36665938902297
"71",1,"memory (1-peak)",314.473369419458,2.19722457733622,1.76010227547558,0.0196663256253457,"relative convergence (4)",-10,Inf,1.72076962422489,1.79943492672628
"8",1,"memory (1-peak)",314.473369419458,-4.0943445622221,0.824502713823018,0.481957280718067,"relative convergence (4)",-Inf,0.944184545784238,-0.139411847613115,1.78841727525915
"13",1,"combination (1-peak)",192.333587786397,0.75,0.653785110546509,0.0349178714142139,"both X-convergence and relative convergence (5)",0,Inf,0.583949367718081,0.723620853374937
"22",1,"combination (1-peak)",192.333587786397,0.75,0.655834513745726,0.0816617727808143,"both X-convergence and relative convergence (5)",0,Inf,0.492510968184098,0.819158059307355
"32",1,"combination (1-peak)",192.333587786397,0,-314.86202758107,3270.76006523445,"both X-convergence and relative convergence (5)",-Inf,Inf,-6856.38215804997,6226.65810288783
"42",1,"combination (1-peak)",192.333587786397,7.5,13.432642738404,1.91197257841315,"both X-convergence and relative convergence (5)",-Inf,Inf,9.60869758157773,17.2565878952303
"52",1,"combination (1-peak)",192.333587786397,-7.5,-12.8703720740913,1.91418724699373,"both X-convergence and relative convergence (5)",-Inf,Inf,-16.6987465680788,-9.04199758010387
"62",1,"combination (1-peak)",192.333587786397,0,-0.981088776631565,1.56335265213976,"both X-convergence and relative convergence (5)",-Inf,Inf,-4.10779408091109,2.14561652764796
"72",1,"combination (1-peak)",192.333587786397,0,1000,1711.23876681278,"both X-convergence and relative convergence (5)",0,1000,-2422.47753362557,4422.47753362557
"81",1,"combination (1-peak)",192.333587786397,1,1,4.57846584760158,"both X-convergence and relative convergence (5)",1,600,-8.15693169520316,10.1569316952032
"9",1,"combination (1-peak)",192.333587786397,1,20,0.467502117248621,"both X-convergence and relative convergence (5)",20,600,19.0649957655028,20.9350042344972
"10",1,"combination (1-peak)",192.333587786397,1.73460105538811,1.30498611865052,0.160314568227343,"both X-convergence and relative convergence (5)",-10,Inf,0.984356982195834,1.62561525510521
"111",1,"combination (1-peak)",192.333587786397,2.19722457733622,1.75842622069887,0.156851722915593,"both X-convergence and relative convergence (5)",-10,Inf,1.44472277486768,2.07212966653005
"12",1,"combination (1-peak)",192.333587786397,-4.0943445622221,-12.0259582608113,10.3243572577929,"both X-convergence and relative convergence (5)",-Inf,0.944184545784238,-32.6746727763971,8.62275625477437
