"","N","model","IC","true","estimate","se","msg","const.l","const.u","CL","CU"
"steplength",1,"null",-341.725274159587,0.75,0.573090401771909,0.0326163405013937,"relative convergence (4)",0,Inf,0.507857720769121,0.638323082774696
"angularconcentration",1,"null",-341.725274159587,0.75,0.644382061798487,0.0865724707687909,"relative convergence (4)",0,Inf,0.471237120260906,0.817527003336069
"logit_lambda",1,"null",-341.725274159587,1.73460105538811,1.62302073870679,0.166535293598438,"relative convergence (4)",-10,Inf,1.28995015150991,1.95609132590367
"logit_gamma",1,"null",-341.725274159587,2.19722457733622,1.73527144216298,0.170793774583875,"relative convergence (4)",-10,Inf,1.39368389299523,2.07685899133073
"1",1,"resource",-359.621380903338,0.75,0.572402605022551,0.0325600684603625,"relative convergence (4)",0,Inf,0.507282468101826,0.637522741943276
"2",1,"resource",-359.621380903338,0.75,0.643796063676598,0.0865120482041959,"relative convergence (4)",0,Inf,0.470771967268206,0.816820160084989
"3",1,"resource",-359.621380903338,7.5,6.66552386319108,2.03192277001146,"relative convergence (4)",-Inf,Inf,2.60167832316817,10.729369403214
"4",1,"resource",-359.621380903338,-7.5,-9.81611059662995,2.66772457672724,"relative convergence (4)",-Inf,Inf,-15.1515597500844,-4.48066144317547
"5",1,"resource",-359.621380903338,0,1.91904148563317,2.08460621685159,"relative convergence (4)",-Inf,Inf,-2.25017094807,6.08825391933634
"6",1,"resource",-359.621380903338,1.73460105538811,1.6304233178331,0.0228993644162162,"relative convergence (4)",-10,10,1.58462458900066,1.67622204666553
"7",1,"resource",-359.621380903338,2.19722457733622,1.73683097807032,0.0217457202269313,"relative convergence (4)",-10,10,1.69333953761646,1.78032241852418
"11",1,"memory (1-peak)",-334.283284758412,0.75,0.57294927953292,0.0326048043302437,"relative convergence (4)",0,Inf,0.507739670872432,0.638158888193407
"21",1,"memory (1-peak)",-334.283284758412,0.75,0.644544364078662,0.0865632701651427,"relative convergence (4)",0,Inf,0.471417823748377,0.817670904408947
"31",1,"memory (1-peak)",-334.283284758412,50,15.2191915585473,5.04246462718835,"relative convergence (4)",0,1000,5.13426230417058,25.304120812924
"41",1,"memory (1-peak)",-334.283284758412,550,502.309032882696,15.3942912425413,"relative convergence (4)",5,600,471.520450397613,533.097615367778
"51",1,"memory (1-peak)",-334.283284758412,25,43.6719938842643,13.611688900305,"relative convergence (4)",20,Inf,16.4486160836543,70.8953716848744
"61",1,"memory (1-peak)",-334.283284758412,1.73460105538811,1.62537975694025,0.0229082837875562,"relative convergence (4)",-10,Inf,1.57956318936514,1.67119632451536
"71",1,"memory (1-peak)",-334.283284758412,2.19722457733622,1.7365949042093,0.021760515423834,"relative convergence (4)",-10,Inf,1.69307387336164,1.78011593505697
"8",1,"memory (1-peak)",-334.283284758412,-4.0943445622221,-1.19220961561975,0.520399139525838,"relative convergence (4)",-Inf,1.19308116872333,-2.23300789467143,-0.151411336568078
"13",1,"combination (1-peak)",-351.756070557546,0.75,0.572492217722984,0.0325683826526974,"both X-convergence and relative convergence (5)",0,Inf,0.507355452417589,0.637628983028378
"22",1,"combination (1-peak)",-351.756070557546,0.75,0.64392034383595,0.0865201844385272,"both X-convergence and relative convergence (5)",0,Inf,0.470879974958896,0.816960712713005
"32",1,"combination (1-peak)",-351.756070557546,0,-1.32642945386601,0.752451380366614,"both X-convergence and relative convergence (5)",-Inf,Inf,-2.83133221459924,0.178473306867218
"42",1,"combination (1-peak)",-351.756070557546,7.5,5.3176720313167,2.01589535326299,"both X-convergence and relative convergence (5)",-Inf,Inf,1.28588132479073,9.34946273784267
"52",1,"combination (1-peak)",-351.756070557546,-7.5,-5.54802520191535,1.94919132437722,"both X-convergence and relative convergence (5)",-Inf,Inf,-9.44640785066978,-1.64964255316092
"62",1,"combination (1-peak)",-351.756070557546,0,3.42807071182719,1.88088089799061,"both X-convergence and relative convergence (5)",-Inf,Inf,-0.333691084154032,7.18983250780841
"72",1,"combination (1-peak)",-351.756070557546,50,1000,608.355715548706,"both X-convergence and relative convergence (5)",0,1000,-216.711431097412,2216.71143109741
"81",1,"combination (1-peak)",-351.756070557546,550,546.303937085814,NA,"both X-convergence and relative convergence (5)",1,600,NA,NA
"9",1,"combination (1-peak)",-351.756070557546,25,20,NA,"both X-convergence and relative convergence (5)",20,600,NA,NA
"10",1,"combination (1-peak)",-351.756070557546,1.73460105538811,1.63082244619107,0.167207437111152,"both X-convergence and relative convergence (5)",-10,Inf,1.29640757196877,1.96523732041337
"111",1,"combination (1-peak)",-351.756070557546,2.19722457733622,1.73834468228602,0.17098760806637,"both X-convergence and relative convergence (5)",-10,Inf,1.39636946615328,2.08031989841876
"12",1,"combination (1-peak)",-351.756070557546,-4.0943445622221,-4.80421365146548,0.565427302391547,"both X-convergence and relative convergence (5)",-Inf,1.19308116872333,-5.93506825624857,-3.67335904668238
